dt,i
2021-01-02,0
2021-01-03,43
2021-01-04,53
2021-01-05,56
2021-01-06,44
2021-01-07,57
2021-01-08,57
2021-01-09,46
2021-01-10,28
2021-01-11,45
2021-01-12,54
2021-01-13,38
2021-01-14,49
2021-01-15,37
2021-01-16,42
2021-01-17,24
2021-01-18,40
2021-01-19,57
2021-01-20,52
2021-01-21,52
2021-01-22,38
2021-01-23,52
2021-01-24,47
2021-01-25,68
2021-01-26,52
2021-01-27,78
2021-01-28,67
2021-01-29,79
2021-01-30,69
2021-01-31,71
2021-02-01,75
2021-02-02,76
2021-02-03,99
2021-02-04,93
2021-02-05,69
2021-02-06,85
2021-02-07,63
2021-02-08,97
2021-02-09,115
2021-02-10,85
2021-02-11,99
2021-02-12,88
2021-02-13,64
2021-02-14,69
2021-02-15,92
2021-02-16,132
2021-02-17,136
2021-02-18,140
2021-02-19,121
2021-02-20,85
2021-02-21,66
2021-02-22,142
2021-02-23,100
2021-02-24,145
2021-02-25,122
2021-02-26,151
2021-02-27,74
2021-02-28,38
2021-03-01,114
2021-03-02,141
2021-03-03,65
2021-03-04,57
2021-03-05,59
2021-03-06,27
2021-03-07,18
2021-03-08,67
2021-03-09,53
2021-03-10,60
2021-03-11,110
2021-03-12,59
2021-03-13,10
2021-03-14,33
2021-03-15,52
2021-03-16,128
2021-03-17,41
2021-03-18,36
2021-03-19,82
2021-03-20,20
2021-03-21,13
2021-03-22,60
2021-03-23,30
2021-03-24,29
2021-03-25,120
2021-03-26,43
2021-03-27,26
2021-03-28,17
2021-03-29,50
2021-03-30,28
2021-03-31,17
2021-04-01,26
2021-04-02,1
2021-04-03,7
2021-04-04,11
2021-04-05,41
2021-04-06,19
2021-04-07,47
2021-04-08,36
2021-04-09,38
2021-04-10,21
2021-04-11,23
2021-04-12,41
2021-04-13,37
2021-04-14,35
2021-04-15,27
2021-04-16,30
2021-04-17,22
2021-04-18,10
2021-04-19,35
2021-04-20,32
2021-04-21,20
2021-04-22,31
2021-04-23,48
2021-04-24,34
2021-04-25,20
2021-04-26,28
2021-04-27,42
2021-04-28,53
2021-04-29,43
2021-04-30,1
2021-05-01,19
2021-05-02,4
2021-05-03,38
2021-05-04,26
2021-05-05,55
2021-05-06,52
2021-05-07,50
2021-05-08,37
2021-05-09,26
2021-05-10,82
2021-05-11,80
2021-05-12,73
2021-05-13,80
2021-05-14,79
2021-05-15,46
2021-05-16,34
2021-05-17,113
2021-05-18,76
2021-05-19,72
2021-05-20,78
2021-05-21,107
2021-05-22,38
2021-05-23,25
2021-05-24,97
2021-05-25,72
2021-05-26,94
2021-05-27,151
2021-05-28,92
2021-05-29,80
2021-05-30,38
2021-05-31,113
2021-06-01,119
2021-06-02,234
2021-06-03,109
2021-06-04,113
2021-06-05,59
2021-06-06,40
2021-06-07,132
2021-06-08,131
2021-06-09,136
2021-06-10,103
2021-06-11,95
2021-06-12,44
2021-06-13,36
2021-06-14,156
2021-06-15,131
2021-06-16,103
2021-06-17,107
2021-06-18,120
2021-06-19,36
2021-06-20,38
2021-06-21,100
2021-06-22,65
2021-06-23,86
2021-06-24,90
2021-06-25,101
2021-06-26,69
2021-06-27,42
2021-06-28,96
2021-06-29,76
2021-06-30,67
2021-07-01,62
2021-07-02,46
2021-07-03,31
2021-07-04,25
2021-07-05,63
2021-07-06,59
2021-07-07,56
2021-07-08,71
2021-07-09,25
2021-07-10,23
2021-07-11,19
2021-07-12,54
2021-07-13,50
2021-07-14,53
2021-07-15,53
2021-07-16,77
2021-07-17,40
2021-07-18,34
2021-07-19,52
2021-07-20,51
2021-07-21,50
2021-07-22,43
2021-07-23,51
2021-07-24,21
2021-07-25,25
2021-07-26,64
2021-07-27,41
2021-07-28,30
2021-07-29,33
2021-07-30,36
