COR;R;G;B;HEX
1;233;30;99;#E91E63
2;197;225;165;#C5E1A5
3;244;67;54;#F44336
4;255;215;64;#FFD740
5;144;164;174;#90A4AE
6;255;171;64;#FFAB40
7;158;158;158;#9E9E9E
8;1;87;155;#01579B
9;64;196;255;#40C4FF
10;178;255;89;#B2FF59
11;33;33;33;#212121
12;3;169;244;#03A9F4
13;156;39;176;#9C27B0
14;230;81;0;#E65100
15;136;14;79;#880E4F
16;96;125;139;#607D8B
17;62;39;35;#3E2723
18;51;105;30;#33691E
19;128;222;234;#80DEEA
20;129;212;250;#81D4FA
21;255;235;59;#FFEB3B
22;205;220;57;#CDDC39
23;124;77;255;#7C4DFF
24;239;154;154;#EF9A9A
25;255;110;64;#FF6E40
26;183;28;28;#B71C1C
27;245;127;23;#F57F17
28;255;87;34;#FF5722
29;236;239;241;#ECEFF1
30;206;147;216;#CE93D8
31;38;50;56;#263238
32;230;238;156;#E6EE9C
33;224;64;251;#E040FB
34;26;35;126;#1A237E
35;63;81;181;#3F51B5
36;105;240;174;#69F0AE
37;76;175;80;#4CAF50
38;255;111;0;#FF6F00
39;0;150;136;#009688
40;49;27;146;#311B92
41;13;71;161;#0D47A1
42;69;90;100;#455A64
43;255;171;145;#FFAB91
44;179;157;219;#B39DDB
45;55;71;79;#37474F
46;244;143;177;#F48FB1
47;255;82;82;#FF5252
48;159;168;218;#9FA8DA
49;120;144;156;#78909C
50;165;214;167;#A5D6A7
51;27;94;32;#1B5E20
52;121;85;72;#795548
53;83;109;254;#536DFE
54;255;64;129;#FF4081
55;176;190;197;#B0BEC5
56;74;20;140;#4A148C
57;130;119;23;#827717
58;255;152;0;#FF9800
59;255;205;210;#FFCDD2
60;0;188;212;#00BCD4
61;128;203;196;#80CBC4
62;144;202;249;#90CAF9
63;0;96;100;#006064
64;207;216;220;#CFD8DC
65;255;245;157;#FFF59D
66;84;110;122;#546E7A
67;255;224;130;#FFE082
68;191;54;12;#BF360C
69;255;193;7;#FFC107
70;139;195;74;#8BC34A
71;0;77;64;#004D40
72;255;204;128;#FFCC80
73;33;150;243;#2196F3
74;103;58;183;#673AB7
75;68;138;255;#448AFF
